modeldate,pres.day
1/20/2021,1
1/21/2021,2
1/22/2021,3
1/23/2021,4
1/24/2021,5
1/25/2021,6
1/26/2021,7
1/27/2021,8
1/28/2021,9
1/29/2021,10
1/30/2021,11
1/31/2021,12
2/1/2021,13
2/2/2021,14
2/3/2021,15
2/4/2021,16
2/5/2021,17
2/6/2021,18
2/7/2021,19
2/8/2021,20
2/9/2021,21
2/10/2021,22
2/11/2021,23
2/12/2021,24
2/13/2021,25
2/14/2021,26
2/15/2021,27
2/16/2021,28
2/17/2021,29
2/18/2021,30
2/19/2021,31
2/20/2021,32
2/21/2021,33
2/22/2021,34
2/23/2021,35
2/24/2021,36
2/25/2021,37
2/26/2021,38
2/27/2021,39
2/28/2021,40
3/1/2021,41
3/2/2021,42
3/3/2021,43
3/4/2021,44
3/5/2021,45
3/6/2021,46
3/7/2021,47
3/8/2021,48
3/9/2021,49
3/10/2021,50
3/11/2021,51
3/12/2021,52
3/13/2021,53
3/14/2021,54
3/15/2021,55
3/16/2021,56
3/17/2021,57
3/18/2021,58
3/19/2021,59
3/20/2021,60
3/21/2021,61
3/22/2021,62
3/23/2021,63
3/24/2021,64
3/25/2021,65
3/26/2021,66
3/27/2021,67
3/28/2021,68
3/29/2021,69
3/30/2021,70
3/31/2021,71
4/1/2021,72
4/2/2021,73
4/3/2021,74
4/4/2021,75
4/5/2021,76
4/6/2021,77
4/7/2021,78
4/8/2021,79
4/9/2021,80
4/10/2021,81
4/11/2021,82
4/12/2021,83
4/13/2021,84
4/14/2021,85
4/15/2021,86
4/16/2021,87
4/17/2021,88
4/18/2021,89
4/19/2021,90
4/20/2021,91
4/21/2021,92
4/22/2021,93
4/23/2021,94
4/24/2021,95
4/25/2021,96
4/26/2021,97
4/27/2021,98
4/28/2021,99
4/29/2021,100
4/30/2021,101
5/1/2021,102
5/2/2021,103
5/3/2021,104
5/4/2021,105
5/5/2021,106
5/6/2021,107
5/7/2021,108
5/8/2021,109
5/9/2021,110
5/10/2021,111
5/11/2021,112
5/12/2021,113
5/13/2021,114
5/14/2021,115
5/15/2021,116
5/16/2021,117
5/17/2021,118
5/18/2021,119
5/19/2021,120
5/20/2021,121
5/21/2021,122
5/22/2021,123
5/23/2021,124
5/24/2021,125
5/25/2021,126
5/26/2021,127
5/27/2021,128
5/28/2021,129
5/29/2021,130
5/30/2021,131
5/31/2021,132
6/1/2021,133
6/2/2021,134
6/3/2021,135
6/4/2021,136
6/5/2021,137
6/6/2021,138
6/7/2021,139
6/8/2021,140
6/9/2021,141
6/10/2021,142
6/11/2021,143
6/12/2021,144
6/13/2021,145
6/14/2021,146
6/15/2021,147
6/16/2021,148
6/17/2021,149
6/18/2021,150
6/19/2021,151
6/20/2021,152
6/21/2021,153
6/22/2021,154
6/23/2021,155
6/24/2021,156
6/25/2021,157
6/26/2021,158
6/27/2021,159
6/28/2021,160
6/29/2021,161
6/30/2021,162
7/1/2021,163
7/2/2021,164
7/3/2021,165
7/4/2021,166
7/5/2021,167
7/6/2021,168
7/7/2021,169
7/8/2021,170
7/9/2021,171
7/10/2021,172
7/11/2021,173
7/12/2021,174
7/13/2021,175
7/14/2021,176
7/15/2021,177
7/16/2021,178
7/17/2021,179
7/18/2021,180
7/19/2021,181
7/20/2021,182
7/21/2021,183
7/22/2021,184
7/23/2021,185
7/24/2021,186
7/25/2021,187
7/26/2021,188
7/27/2021,189
7/28/2021,190
7/29/2021,191
7/30/2021,192
7/31/2021,193
8/1/2021,194
8/2/2021,195
8/3/2021,196
8/4/2021,197
8/5/2021,198
8/6/2021,199
8/7/2021,200
8/8/2021,201
8/9/2021,202
8/10/2021,203
8/11/2021,204
8/12/2021,205
8/13/2021,206
8/14/2021,207
8/15/2021,208
8/16/2021,209
8/17/2021,210
8/18/2021,211
8/19/2021,212
8/20/2021,213
8/21/2021,214
8/22/2021,215
8/23/2021,216
8/24/2021,217
8/25/2021,218
8/26/2021,219
8/27/2021,220
8/28/2021,221
8/29/2021,222
8/30/2021,223
8/31/2021,224
9/1/2021,225
9/2/2021,226
9/3/2021,227
9/4/2021,228
9/5/2021,229
9/6/2021,230
9/7/2021,231
9/8/2021,232
9/9/2021,233
9/10/2021,234
9/11/2021,235
9/12/2021,236
9/13/2021,237
9/14/2021,238
9/15/2021,239
9/16/2021,240
9/17/2021,241
9/18/2021,242
9/19/2021,243
9/20/2021,244
9/21/2021,245
9/22/2021,246
9/23/2021,247
9/24/2021,248
9/25/2021,249
9/26/2021,250
9/27/2021,251
9/28/2021,252
9/29/2021,253
9/30/2021,254
10/1/2021,255
10/2/2021,256
10/3/2021,257
10/4/2021,258
10/5/2021,259
10/6/2021,260
10/7/2021,261
10/8/2021,262
10/9/2021,263
10/10/2021,264
