population,subpopulation,population_full,ovr tot,subpop,cps_share,age low,age high
rv,18_24,rv-18_24,168308,15984,0.09497,18,24
a,18_24,a-18_24,252274,28659,0.11360,18,24
lv,18_24,lv-18_24,154628,13752,0.08894,18,24
a,18_25,a-18_25,252274,32714,0.12968,18,25
a,18_29,a-18_29,252274,51097,0.20255,18,29
rv,18_29,rv-18_29,168308,29400,0.17468,18,29
lv,18_29,lv-18_29,154628,25453,0.16461,18,29
rv,18_34,rv-18_34,168308,43335,0.25747,18,34
a,18_34,a-18_34,252274,73530,0.29147,18,34
lv,18_34,lv-18_34,154628,37843,0.24474,18,34
a,18_39,a-18_39,252274,94949,0.37637,18,39
a,18_40,a-18_40,252274,99248,0.39341,18,40
rv,18_44,rv-18_44,168308,69187,0.41107,18,44
a,18_44,a-18_44,252274,115088,0.45620,18,44
rv,18_45,rv-18_45,168308,71709,0.42606,18,45
lv,18_49,lv-18_49,154628,73049,0.47242,18,49
lv,18_54,lv-18_54,154628,86055,0.55653,18,54
rv,25_34,rv-25_34,168308,27351,0.16251,25,34
a,25_34,a-25_34,252274,44871,0.17787,25,34
lv,25_34,lv-25_34,154628,24091,0.15580,25,34
a,26_41,a-26_41,252274,70486,0.27940,26,41
rv,30_39,rv-30_39,168308,27385,0.16271,30,39
lv,30_39,lv-30_39,154628,24479,0.15831,30,39
a,30_39,a-30_39,252274,43852,0.17383,30,39
a,30_44,a-30_44,252274,63991,0.25366,30,44
rv,30_44,rv-30_44,168308,39787,0.23639,30,44
lv,30_44,lv-30_44,154628,35811,0.23159,30,44
rv,30_49,rv-30_49,168308,52550,0.31223,30,49
lv,30_49,lv-30_49,154628,47596,0.30781,30,49
a,30_49,a-30_49,252274,83502,0.33100,30,49
rv,35_44,rv-35_44,168308,25852,0.15360,35,44
lv,35_44,lv-35_44,154628,23421,0.15147,35,44
a,35_44,a-35_44,252274,41558,0.16473,35,44
rv,35_49,rv-35_49,168308,38615,0.22943,35,49
a,35_49,a-35_49,252274,61069,0.24207,35,49
lv,35_49,lv-35_49,154628,35206,0.22768,35,49
a,35_54,a-35_54,252274,81316,0.32233,35,54
lv,35_54,lv-35_54,154628,48212,0.31179,35,54
a,35_64,a-35_64,252274,123471,0.48943,35,64
rv,40_49,rv-40_49,168308,25165,0.14952,40,49
lv,40_49,lv-40_49,154628,23117,0.14950,40,49
a,40_49,a-40_49,252274,39650,0.15717,40,49
a,40_55,a-40_55,252274,64382,0.25521,40,55
a,40_64,a-40_64,252274,102052,0.40453,40,64
a,40+,a-40+,252274,157326,0.62363,40,99
a,41_56,a-41_56,252274,64160,0.25433,41,56
a,42_57,a-42_57,252274,64203,0.25450,42,57
rv,45_54,rv-45_54,168308,26719,0.15875,45,54
lv,45_54,lv-45_54,154628,24791,0.16033,45,54
a,45_54,a-45_54,252274,39758,0.15760,45,54
a,45_59,a-45_59,252274,60777,0.24092,45,59
rv,45_64,rv-45_64,168308,57228,0.34002,45,64
a,45_64,a-45_64,252274,81913,0.32470,45,64
lv,45_64,lv-45_64,154628,53645,0.34693,45,64
rv,45+,rv-45+,168308,99124,0.58894,45,99
a,45+,a-45+,252274,137187,0.54380,45,99
rv,46_65,rv-46_65,168308,57651,0.34253,46,65
rv,50_64,rv-50_64,168308,44465,0.26419,50,64
a,50_64,a-50_64,252274,62402,0.24736,50,64
lv,50_64,lv-50_64,154628,41860,0.27071,50,64
lv,50+,lv-50+,154628,81578,0.52758,50,99
rv,55_64,rv-55_64,168308,30509,0.18127,55,64
lv,55_64,lv-55_64,154628,28854,0.18660,55,64
a,55_64,a-55_64,252274,42155,0.16710,55,64
lv,55_69,lv-55_69,154628,41940,0.27123,55,69
a,55+,a-55+,252274,97429,0.38620,55,99
lv,55+,lv-55+,154628,68572,0.44346,55,99
a,56_74,a-56_74,252274,70624,0.27995,56,74
a,57_75,a-57_75,252274,68795,0.27270,57,75
a,58_76,a-58_76,252274,66929,0.26530,58,76
a,60+,a-60+,252274,76410,0.30288,60,99
rv,64+,rv-64+,168308,44983,0.26727,64,99
rv,65+,rv-65+,168308,41896,0.24892,65,99
a,65+,a-65+,252274,55274,0.21910,65,99
lv,65+,lv-65+,154628,39718,0.25686,65,99
lv,70+,lv-70+,154628,26632,0.17223,70,99
a,75+,a-75+,252274,22320,0.08848,75,99
a,76+,a-76+,252274,20072,0.07956,76,99
a,77+,a-77+,252274,17943,0.07113,77,99
a,18_45,a-18_45,252274,119110,0.47215,18,45
rv,45_59,rv-45_59,168308,41671,0.24759,45,59
rv,60+,rv-60+,168308,57453,0.34136,60,99
a,18_30,a-18_30,252274,55833,0.22132,18,30
