poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
999999990,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/9/2021,3/22/2021,,,,900000001,2513,a,18_29,a-18_29,,,,https://iop.harvard.edu/youth-poll/spring-2021-harvard-youth-poll,,,,42,Joe Biden,59,38,3
999999990,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/9/2021,3/22/2021,,,,900000002,2513,rv,18_29,rv-18_29,,,,https://iop.harvard.edu/youth-poll/spring-2021-harvard-youth-poll,,,,42,Joe Biden,61,37,2
999999990,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/9/2021,3/22/2021,,,,900000003,1257,a,18_24,a-18_24,,,,https://iop.harvard.edu/youth-poll/spring-2021-harvard-youth-poll,,,,42,Joe Biden,58,39,3
999999990,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/9/2021,3/22/2021,,,,900000004,1256,a,25_29,a-25_29,,,,https://iop.harvard.edu/youth-poll/spring-2021-harvard-youth-poll,,,,42,Joe Biden,61,37,3
999999991,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,10/26/2021,11/8/2021,,,,900000005,2109,a,18_29,a-18_29,,,,https://iop.harvard.edu/youth-poll/fall-2021-harvard-youth-poll,,,,42,Joe Biden,46,51,2
999999991,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,10/26/2021,11/8/2021,,,,900000006,1607,rv,18_29,rv-18_29,,,,https://iop.harvard.edu/youth-poll/fall-2021-harvard-youth-poll,,,,42,Joe Biden,48,51,2
999999991,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,10/26/2021,11/8/2021,,,,900000007,1165,a,18_24,a-18_24,,,,https://iop.harvard.edu/youth-poll/fall-2021-harvard-youth-poll,,,,42,Joe Biden,46,52,2
999999991,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,10/26/2021,11/8/2021,,,,900000008,944,a,25_29,a-25_29,,,,https://iop.harvard.edu/youth-poll/fall-2021-harvard-youth-poll,,,,42,Joe Biden,47,51,2
999999992,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/15/2022,3/30/2022,,,,900000009,2024,a,18_29,a-18_29,,,,https://iop.harvard.edu/youth-poll/spring-2022-harvard-youth-poll,,,,42,Joe Biden,41,56,2
999999992,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/15/2022,3/30/2022,,,,900000010,1498,rv,18_29,rv-18_29,,,,https://iop.harvard.edu/youth-poll/spring-2022-harvard-youth-poll,,,,42,Joe Biden,42,56,2
999999992,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/15/2022,3/30/2022,,,,900000011,1132,a,18_24,a-18_24,,,,https://iop.harvard.edu/youth-poll/spring-2022-harvard-youth-poll,,,,42,Joe Biden,40,57,3
999999992,9999999,Harvard Public Opinion Project,,,Harvard Public Opinion Project,,,,Internet,,3/15/2022,3/30/2022,,,,900000012,892,a,25_29,a-25_29,,,,https://iop.harvard.edu/youth-poll/spring-2022-harvard-youth-poll,,,,42,Joe Biden,43,56,1
