poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,yes,no,alternate_answers,crosstabs,rv-18_24,a-18_24,lv-18_24,a-18_25,a-18_29,rv-18_29,lv-18_29,rv-18_34,a-18_34,lv-18_34,a-18_39,a-18_40,rv-18_44,a-18_44,rv-18_45,lv-18_49,lv-18_54,rv-25_34,a-25_34,lv-25_34,a-26_41,rv-30_39,lv-30_39,a-30_39,a-30_44,rv-30_44,lv-30_44,rv-30_49,lv-30_49,a-30_49,rv-35_44,lv-35_44,a-35_44,rv-35_49,a-35_49,lv-35_49,a-35_54,lv-35_54,a-35_64,rv-40_49,lv-40_49,a-40_49,a-40_55,a-40_64,a-40+,a-41_56,a-42_57,rv-45_54,lv-45_54,a-45_54,a-45_59,rv-45_64,a-45_64,lv-45_64,rv-45+,a-45+,rv-46_65,rv-50_64,a-50_64,lv-50_64,lv-50+,rv-55_64,lv-55_64,a-55_64,lv-55_69,a-55+,lv-55+,a-56_74,a-57_75,a-58_76,a-60+,rv-64+,rv-65+,a-65+,lv-65+,lv-70+,a-75+,a-76+,a-77+,rv-d,a-d,lv-d,rv-i,a-i,lv-i,rv-r,a-r,lv-r,rv-aapi,lv-aapi,rv-asian,a-asian,lv-asian,rv-black,a-black,lv-black,a-hawaiian_pacific_islander,a-hawaiianpacificislander,rv-hispanic,a-hispanic,lv-hispanic,a-latino,a-multi,a-multiracial,a-native_american,a-nativeamerican,a-nonwhite,rv-nonwhite,rv-other,a-other,lv-other,rv-white,a-white,lv-white,rv-f,a-f,lv-f,rv-m,a-m,lv-m,lv-men,lv-women
74246,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B,Online,,1/20/2021,1/21/2021,,,,139394,1993,rv,,rv,,1/22/21 10:57,,https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,538,FALSE,,42,Joe Biden,56,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74248,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,Online,,1/20/2021,1/21/2021,,,,139404,1115,a,,a,,1/22/21 22:06,,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,538,FALSE,,42,Joe Biden,55.47,31.59,12.94,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
74248,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,Online,,1/20/2021,1/21/2021,,,,139405,950,rv,,rv,,1/22/21 22:07,,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,538,FALSE,,42,Joe Biden,57,32,11,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
74327,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,1/20/2021,1/21/2021,,,,139570,1516,a,,a,,2/2/21 15:39,,https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,538,FALSE,,42,Joe Biden,45,28,26,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
74256,1416,HarrisX,960,The Hill,HarrisX,133,Harris Insights & Analytics,B+,Online,,1/21/2021,1/22/2021,,,,139422,941,rv,,rv,,1/25/21 15:03,,https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,538,FALSE,,42,Joe Biden,63,37,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
74273,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B,Online,,1/20/2021,1/22/2021,,,,139492,15000,a,,a,TRUE,1/28/21 19:54,,https://morningconsult.com/form/global-leader-approval/,538,FALSE,,42,Joe Biden,51,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74273,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B,Online,,1/20/2021,1/22/2021,,,,139578,9000,rv,,rv,TRUE,2/3/21 9:17,,https://morningconsult.com/2021/02/03/biden-job-approval-executive-orders/,538,FALSE,,42,Joe Biden,54,31,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74270,1554,RMG Research,1262,Just the News,RMG Research,555,RMG Research,B-,IVR/Online/Text,,1/21/2021,1/23/2021,,,,139489,1200,rv,,rv,,1/28/21 15:38,,https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,538,FALSE,,42,Joe Biden,58,32,11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
74274,1189,Morning Consult,,,Morning Consult,218,Morning Consult,B,Online,,1/21/2021,1/23/2021,,,,139493,15000,a,,a,TRUE,1/28/21 19:55,,https://morningconsult.com/form/global-leader-approval/,538,FALSE,,42,Joe Biden,52,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74249,399,Rasmussen (Pulse Opinion Research),1585,SLANTED,Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,IVR/Online,,1/20/2021,1/24/2021,,,,139406,1500,lv,,lv,TRUE,1/25/21 9:27,,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,538,FALSE,,42,Joe Biden,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
